participant_no,week no,url,query,data,type,task,goal,source,content,format
102,Week 1,https://www.google.com/search?q=foods to avoid while losing body fat,foods to avoid while losing body fat,Q,ideas/options,option seeking,plan,,,
102,Week 1,https://www.google.com/search?q=foods to eat that help lose weight,foods to eat that help lose weight,Q,ideas/options,option seeking,plan,,,
102,Week 1,https://www.google.com/search?q=foods to eat that help lose weight,foods to eat that help lose weight,Q,ideas/options,option seeking,plan,,,
102,Week 1,https://www.google.com/search?q=vegan foods to eat that help lose weight,vegan foods to eat that help lose weight,Q,ideas/options,option seeking,plan,,,
102,Week 1,https://www.google.com/search?q=is avocado food or bad,is avocado food or bad,Q,normative,evaluate,decision making,,,
102,Week 1,https://www.google.com/search?q=is avocado too much fat with oil',is avocado too much fat with oil',Q,normative,evaluate,decision making,,,
102,Week 1,https://www.google.com/search?q=is it ok to eat chips occasionally,is it ok to eat chips occasionally,Q,normative,evaluate,decision making,,,
102,Week 1,https://www.google.com/search?q=is it ok to eat chips occasionally,is it ok to eat chips occasionally,Q,normative,evaluate,decision making,,,
102,Week 1,https://www.google.com/search?q=is it ok to eat chips occasionally,is it ok to eat chips occasionally [10],Q,normative,evaluate,decision making,,,
102,Week 1,https://www.google.com/search?q=how much water should you drink a day,how much water should you drink a day,Q,normative,learn,plan,,,
102,Week 1,https://www.google.com/search?q=how much water should you drink a day,how much water should you drink a day,Q,normative,learn,plan,,,
102,Week 1,https://www.google.com/search?q=is feta cheese good for you,is feta cheese good for you,Q,normative,evaluate,decision making,,,
102,Week 1,https://www.google.com/search?q=is chai good for you,is chai good for you,Q,normative,evaluate,decision making,,,
102,Week 1,https://www.google.com/search?q=is chai good for you,is chai good for you,Q,normative,evaluate,decision making,,,
102,Week 1,https://www.google.com/search?q=is chai good for you,is chai good for you,Q,normative,evaluate,decision making,,,
102,Week 1,https://www.google.com/search?q=does eating too fast cause weight gain,does eating too fast cause weight gain,Q,outcome,learn,decision making,,,
102,Week 1,https://www.google.com/search?q=does eating too fast cause weight gain,does eating too fast cause weight gain,Q,outcome,learn,decision making,,,
102,Week 1,https://www.google.com/search?q=best foods to eat as a woman,best foods to eat as a woman,Q,ideas/options,option seeking,plan,,,
102,Week 1,https://www.google.com/search?q=best low carb breakfast,best low carb breakfast,Q,ideas/options,option seeking,plan,,,
102,Week 1,https://www.google.com/search?q=best low carb breakfast,best low carb breakfast,Q,ideas/options,option seeking,plan,,,
102,Week 1,https://www.google.com/search?q=are kettle cooked chips healthier,are kettle cooked chips healthier,Q,comparative,evaluate,decision making,,,
102,Week 1,https://www.google.com/search?q=should you avoid coffee before working out,should you avoid coffee before working out,Q,normative,evaluate,decision making,,,
102,Week 1,https://www.google.com/search?q=how long do you need to jump rope to lose weight,how long do you need to jump rope to lose weight,Q,outcome,logistics,plan,,,
102,Week 1,https://www.google.com/search?q=how long do you need to jump rope to lose weight,how long do you need to jump rope to lose weight,Q,outcome,logistics,plan,,,
102,Week 1,https://www.google.com/search?q=how long do you need to jump rope to lose weight,how long do you need to jump rope to lose weight,Q,outcome,logistics,plan,,,
102,Week 1,https://www.google.com/search?q=is there a better time of day to workout,is there a better time of day to workout,Q,comparative,evaluate,plan,,,
102,Week 2,https://www.google.com/search?q=most beneficial items in a breakfast smoothie,most beneficial items in a breakfast smoothie,Q,ideas/options,option seeking,plan,,,
102,Week 2,https://www.google.com/search?q=most beneficial items in a breakfast smoothie,most beneficial items in a breakfast smoothie [10],Q,ideas/options,option seeking,plan,,,
102,Week 2,https://www.google.com/search?q=best things to put in a breakfast smoothie,best things to put in a breakfast smoothie,Q,ideas/options,option seeking,plan,,,
